text;gt
Доброе утро! 29 декабря по карте 2049 была совершена покупка на азс Shell на 3061 рубль, почему указанная кеш бек с указанной покупки не был зачислен на счёт?;14,15
31 рубль;0,1
Добрый день, с Карты visa 28.11 была совершена орлана на сумму 22 доллара,магазин сказал что платёж не прошёл,статус операции в Ак барс он Лайн-выполняеться, 33 дня прошло,верните пожалуйста деньги.;12,13
Хочу купить доллары в он лайн. Курс 61,96, нажимаю обменять курс выходит 63,21;7,12
161 рубль :(;0,1
Здравствуйте! Запоавлялся на автоматической заправке во Франции. С карты списано 150 евро и за саму заправку примерно 60 03.01.2020;10,11,17
Спасибо за ответ! А когда я увижу эти 150 евро,  в настоящее время они сминусованы с доступного остатка;8,9
А эти 150евро я вижу списанными с моего доступного остатка;2
Ну это баланс за минусом 150 евро этих;5,6
Добрый день. Подскажите пожалуйста я задавал вопрос по 50 евро, которые мне разблокировали 2 декабря. Сказали 33 дня ждать. Мне кажется они прошли?;8,9
Добрый день.Возможно ли осуществить перевод в евро через отделение АК БАРС , в сторонний банк тоже на счет в евро.Вот к примеру сумма 27 евро)!;24,25
Четко обозначьте сумму списания без привязки к евро/доллару, трачу 100 лир сколько в рублях будет списано;10,11
150000 это независимо с какой карты или счета в день? А если наоборот с долларов на рубли, то же ограничение 150000?;0,20
Здравствуйте! 03.01 заблокированы 150 евро на моей карте;4,5
возврат денежных средств в размере 491 рубль , а возврата до сих пор нет;5,6
платеж на 18,98 долларов только один раз приходил. Могу прикрепить переписку;2,3,4
Добрый день. Сегодня отправил перевод на сумму 4923 евро не вижу исполнения.;7,8
Здравствуйте, я перевела 350 руб. в доллары. Почему то перевела ь 349 руб. с копейками. Почему?;3,4,11,12
поменяю рубли на доллары,допустим 10 000$,и захочу их снять через 2 месяца,будет ли комиссия за снятие долларов в офисе ак барс банка;5,6
Прошу проверить возврат суммы в размере 389 долларов от Hilton Garden Inn. Сумма была снята 1 января 2020 года как залог. Возврат должен быть осуществлен в течение 2-3 дней;6,7
Подскажите, в вашем сообщении указано, что комиссия за посещение 32 доллара. Это после того, как бесплатные посещения закончатся?;9,10
За что у меня сняли 30 евро? Я просто не понимаю);5,6
здравствуйте если я хочу купить 10000 евро какая коммисия при покупке и снятии и лимиты ?;5,6
Вот это 21 рубль я могу использовать?;2,3
правильно понимаю что комиссия за каждое снятие 5 евро?;7,8
Самый дешевый тариф для снятия - Эволюшн? 5 евро за снятие?;7,8
лимит снятия равен рублевому получается? 750тр - то есть около 12 000 долларов?;5,10,11,12
ну, приблизительно - около 10 000 долларов   логику понять;4,5,6
Добрый вечер, я хотел бы узнать когда будет снята блокировка с суммы в 608 евро, прошло больше 33 дней;13,14
подскажите, пожалуйста, если я планирую обменять в кассе порядка 100-150 тысяч рублей на евро, нужно ли предварительно их заказывать? Или такая сумма в любом случае будет в кассе? В частности, интересует отделение в г. Ярославль.;9,10,11,12
Здравствуйте,  у меня есть 600$ на счёте.  Хочу сделать покупку в канадском интернет  магазине.  Как мне оплатить сразу долларами через PayPal. Может вы знаете?  Хочу избежать конвертации в рубли и обратно с комиссией.  Спасибо.;4
