text;gt
добрый утро 29 декабрь по карта 2049 быть совершать покупка на азс shell на 3061 рубль почему указанный кеш бек с указанный покупка не быть зачислять на счет;14,15
31 рубль;0,1
добрый день с карта visa 28 11 быть совершать орлан на сумма 22 доллар магазин сказать что платеж не проходить статус операция в ак барс он лайн выполняеться 33 день проходить вернуть пожалуйста деньги;12,13
2 01 в какой отделение банк можно купить доллар сша;8
курс доллар;1
здравствовать в какой дежурный офис 2 январь можно обменять доллар;9
какой на сегодняшний день курс доллар казань ул декабрист 1;5
161 рубль;0,1
здравствовать запоавляться на автоматический заправка во франция с карта списывать 150 евро и за сам заправка примерно 60 03 01 2020;10,11,17
спасибо за ответ а когда я увидеть этот 150 евро в настоящий время они сминусовать с доступный остаток;8,9
а этот 150евро я видеть списывать с мой доступный остаток;2
добрый день подсказывать пожалуйста я задавать вопрос по 50 евро который я разблокировать 2 декабрь сказать 33 день ждать я кажется они проходить;8,9
